log_id,user_id,username,email,roles,action,timestamp,ip_address,user_agent,success,session_id,page,metadata,is_anomaly,risk_score
1,44,user44,user44@example.com,guest,login,2025-06-06 05:08:00,192.168.134.130,Mozilla/5.0,True,session_44_7,admin_panel,{},1,25
2,47,user47,user47@example.com,user,view_page,2025-06-30 05:01:00,192.168.85.78,Edge/18.0,True,session_47_2,reports,{},0,25
3,7,user7,user7@example.com,admin,change_password,2025-06-08 01:52:00,192.168.153.85,Safari/14.0,False,session_7_10,dashboard,{},0,0
4,30,user30,user30@example.com,guest,login,2025-06-07 04:22:00,192.168.95.196,Mozilla/5.0,True,session_30_2,admin_panel,{},0,0
5,14,user14,user14@example.com,admin,view_page,2025-06-22 04:11:00,192.168.242.16,Safari/14.0,False,session_14_7,settings,{},0,0
6,41,user41,user41@example.com,admin,view_page,2025-06-24 21:24:00,192.168.129.178,Chrome/91.0,False,session_41_3,dashboard,{},0,0
7,12,user12,user12@example.com,admin,edit_profile,2025-06-04 03:46:00,192.168.22.235,Safari/14.0,True,session_12_8,reports,{},0,0
8,49,user49,user49@example.com,guest,download_file,2025-06-17 07:53:00,192.168.237.76,Edge/18.0,False,session_49_1,admin_panel,{},0,0
9,37,user37,user37@example.com,admin,edit_profile,2025-06-25 01:30:00,192.168.184.116,Chrome/91.0,True,session_37_4,admin_panel,{},0,0
10,49,user49,user49@example.com,guest,login,2025-06-22 14:21:00,192.168.130.238,Mozilla/5.0,True,session_49_5,settings,{},0,0
11,3,user3,user3@example.com,admin,change_password,2025-06-20 22:00:00,192.168.156.46,Chrome/91.0,True,session_3_5,profile,{},0,0
12,16,user16,user16@example.com,guest,change_password,2025-06-02 13:12:00,192.168.65.96,Edge/18.0,True,session_16_7,admin_panel,{},0,25
13,13,user13,user13@example.com,admin,edit_profile,2025-06-03 15:58:00,192.168.211.91,Edge/18.0,False,session_13_2,settings,{},0,0
14,47,user47,user47@example.com,guest,view_page,2025-06-23 12:46:00,192.168.90.183,Chrome/91.0,False,session_47_9,admin_panel,{},0,0
